uid,wikidata_url,frwiki_url,education_institutions,degrees,majors,occupations,employers,education_detail
2902,http://www.wikidata.org/entity/Q2830348,https://fr.wikipedia.org/wiki/Alain_Veyret,,,,personnalité politique,,
2904,http://www.wikidata.org/entity/Q2848800,https://fr.wikipedia.org/wiki/Andr%C3%A9_V%C3%A9zinhet,,,,chercheur ou chercheuse | personnalité politique,,
2907,http://www.wikidata.org/entity/Q3170031,https://fr.wikipedia.org/wiki/Jean-S%C3%A9bastien_Vialatte,,,,personnalité politique | pharmacien ou pharmacienne,,
2912,http://www.wikidata.org/entity/Q1393874,https://fr.wikipedia.org/wiki/Alain_Vidalies,université Bordeaux-I | université de Bordeaux | université de Pau et des pays de l'Adour,,,avocat ou avocate | ministre | personnalité politique,,université Bordeaux-I | université de Bordeaux | université de Pau et des pays de l'Adour
2913,http://www.wikidata.org/entity/Q3124358,https://fr.wikipedia.org/wiki/G%C3%A9rard_Vignoble,,,,personnalité politique,,
2915,http://www.wikidata.org/entity/Q3175036,https://fr.wikipedia.org/wiki/Jean_Vila,,,,anciens cadres | pensionné | personnalité politique,,
2922,http://www.wikidata.org/entity/Q704846,https://fr.wikipedia.org/wiki/Philippe_de_Villiers,Institut d'études politiques de Paris | faculté de droit de Nantes | École nationale d'administration,,,essayiste | fonctionnaire | personnalité politique | théoricien ou théoricienne du complot | écrivain ou écrivaine,,Institut d'études politiques de Paris | faculté de droit de Nantes | École nationale d'administration
2925,http://www.wikidata.org/entity/Q3165261,https://fr.wikipedia.org/wiki/Jean-Claude_Viollet,,,,personnalité politique,,
2936,http://www.wikidata.org/entity/Q3311094,https://fr.wikipedia.org/wiki/Michel_Voisin_(politique),,,,personnalité politique,,
2937,http://www.wikidata.org/entity/Q3124371,https://fr.wikipedia.org/wiki/G%C3%A9rard_Voisin,,,,garagiste | personnalité politique,,
294,http://www.wikidata.org/entity/Q2847166,https://fr.wikipedia.org/wiki/Andr%C3%A9_Aschieri,,,,personnalité politique,,
2940,http://www.wikidata.org/entity/Q268669,https://fr.wikipedia.org/wiki/Dominique_Voynet,enseignement supérieur | université Marie-et-Louis-Pasteur,,,activité | cadres de la fonction publique | personnalité politique | syndicaliste,,enseignement supérieur | université Marie-et-Louis-Pasteur
2942,http://www.wikidata.org/entity/Q3440291,https://fr.wikipedia.org/wiki/Roland_Vuillaume,,,,personnalité politique,,
2943,http://www.wikidata.org/entity/Q3380873,https://fr.wikipedia.org/wiki/Philippe_Vuilque,,,,personnalité politique,,
295,http://www.wikidata.org/entity/Q3083854,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Asensi,,,,permanent politique | personnalité politique | personnes diverses sans activité professionnelle de 60 ans et plus sauf retraités,,
2951,http://www.wikidata.org/entity/Q2839367,https://fr.wikipedia.org/wiki/Aloyse_Warhouver,,,,personnalité politique,,
2952,http://www.wikidata.org/entity/Q509407,https://fr.wikipedia.org/wiki/Jean-Luc_Warsmann,Institut d'études politiques de Paris,,,cadres administratifs et commerciaux d'entreprise | personnalité politique | professions intermédiaires administratives et commerciales des entreprises,,Institut d'études politiques de Paris
2958,http://www.wikidata.org/entity/Q3382825,https://fr.wikipedia.org/wiki/Pierre-Andr%C3%A9_Wiltzer,École nationale d'administration,,,personnalité politique,,École nationale d'administration
